county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Riverside,2020-03-29T00:00:00,44.0,78.0,,,13.0,20.0,46.0
San Joaquin,2020-03-29T00:00:00,34.0,35.0,,,5.0,2.0,7.0
Sonoma,2020-03-29T00:00:00,7.0,20.0,,,2.0,5.0,12.0
Alameda,2020-03-29T00:00:00,36.0,91.0,,,20.0,16.0,119.0
Mendocino,2020-03-29T00:00:00,1.0,11.0,,,0.0,0.0,1.0
Orange,2020-03-29T00:00:00,74.0,167.0,,,31.0,40.0,131.0
Tehama,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Marin,2020-03-29T00:00:00,7.0,13.0,,,2.0,6.0,11.0
Kings,2020-03-29T00:00:00,2.0,5.0,,,1.0,0.0,2.0
Ventura,2020-03-29T00:00:00,24.0,85.0,,,5.0,19.0,14.0
Stanislaus,2020-03-29T00:00:00,20.0,48.0,,,9.0,8.0,25.0
Colusa,2020-03-29T00:00:00,,,,,,,
San Bernardino,2020-03-29T00:00:00,33.0,123.0,,,19.0,20.0,65.0
Shasta,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
San Mateo,2020-03-29T00:00:00,46.0,27.0,,,16.0,10.0,28.0
Butte,2020-03-29T00:00:00,,,,,,,
Monterey,2020-03-29T00:00:00,2.0,16.0,,,1.0,2.0,10.0
Imperial,2020-03-29T00:00:00,5.0,100.0,,,1.0,2.0,2.0
Tulare,2020-03-29T00:00:00,6.0,13.0,,,5.0,3.0,7.0
Fresno,2020-03-29T00:00:00,8.0,116.0,,,3.0,14.0,22.0
Calaveras,2020-03-29T00:00:00,,,,,,,
Siskiyou,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Nevada,2020-03-29T00:00:00,23.0,,,,1.0,0.0,3.0
Placer,2020-03-29T00:00:00,18.0,14.0,,,4.0,1.0,10.0
Del Norte,2020-03-29T00:00:00,1.0,2.0,,,0.0,0.0,3.0
Sutter,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
El Dorado,2020-03-29T00:00:00,0.0,6.0,,,0.0,3.0,3.0
Inyo,2020-03-29T00:00:00,,,,,,,
Yuba,2020-03-29T00:00:00,2.0,12.0,,,2.0,4.0,2.0
Madera,2020-03-29T00:00:00,1.0,6.0,,,1.0,1.0,8.0
Modoc,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Amador,2020-03-29T00:00:00,1.0,0.0,,,0.0,0.0,2.0
Humboldt,2020-03-29T00:00:00,1.0,10.0,,,0.0,0.0,18.0
Napa,2020-03-29T00:00:00,0.0,26.0,,,,,5.0
Yolo,2020-03-29T00:00:00,2.0,3.0,,,1.0,1.0,0.0
Contra Costa,2020-03-29T00:00:00,23.0,62.0,,,8.0,15.0,62.0
San Diego,2020-03-29T00:00:00,121.0,211.0,,,77.0,39.0,205.0
Sacramento,2020-03-29T00:00:00,36.0,27.0,,,12.0,18.0,50.0
Santa Cruz,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Los Angeles,2020-03-29T00:00:00,489.0,1132.0,,,191.0,182.0,345.0
Kern,2020-03-29T00:00:00,16.0,57.0,,,8.0,8.0,39.0
Solano,2020-03-29T00:00:00,7.0,27.0,,,4.0,1.0,28.0
San Luis Obispo,2020-03-29T00:00:00,7.0,12.0,,,3.0,4.0,948.0
Lassen,2020-03-29T00:00:00,0.0,2.0,,,0.0,0.0,
Lake,2020-03-29T00:00:00,0.0,1.0,,,0.0,1.0,2.0
Plumas,2020-03-29T00:00:00,0.0,1.0,,,0.0,1.0,
Glenn,2020-03-29T00:00:00,,,,,,,
San Benito,2020-03-29T00:00:00,1.0,1.0,,,1.0,0.0,1.0
Trinity,2020-03-29T00:00:00,0.0,0.0,,,0.0,0.0,
Mono,2020-03-29T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Merced,2020-03-29T00:00:00,1.0,7.0,,,0.0,0.0,3.0
Santa Clara,2020-03-29T00:00:00,141.0,72.0,,,65.0,15.0,70.0
San Francisco,2020-03-29T00:00:00,50.0,73.0,,,24.0,10.0,61.0
Santa Barbara,2020-03-29T00:00:00,15.0,21.0,,,9.0,3.0,47.0
Tuolumne,2020-03-29T00:00:00,1.0,5.0,,,0.0,0.0,0.0
Trinity,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,
San Luis Obispo,2020-03-30T00:00:00,5.0,11.0,,,3.0,4.0,957.0
Sutter,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,
Nevada,2020-03-30T00:00:00,26.0,17.0,,,2.0,5.0,3.0
Modoc,2020-03-30T00:00:00,0.0,31.0,,,0.0,0.0,
Merced,2020-03-30T00:00:00,1.0,9.0,,,0.0,2.0,11.0
Contra Costa,2020-03-30T00:00:00,25.0,54.0,,,11.0,6.0,90.0
Shasta,2020-03-30T00:00:00,1.0,4.0,,,0.0,0.0,13.0
Mono,2020-03-30T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Marin,2020-03-30T00:00:00,10.0,9.0,,,4.0,2.0,16.0
Kern,2020-03-30T00:00:00,18.0,123.0,,,6.0,8.0,51.0
San Bernardino,2020-03-30T00:00:00,67.0,179.0,,,27.0,33.0,66.0
Lake,2020-03-30T00:00:00,0.0,1.0,,,0.0,1.0,3.0
Yuba,2020-03-30T00:00:00,3.0,17.0,,,2.0,4.0,10.0
Imperial,2020-03-30T00:00:00,19.0,109.0,,,3.0,3.0,4.0
Siskiyou,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,3.0
Riverside,2020-03-30T00:00:00,60.0,133.0,,,22.0,33.0,77.0
San Francisco,2020-03-30T00:00:00,58.0,92.0,,,18.0,7.0,90.0
Orange,2020-03-30T00:00:00,98.0,251.0,,,42.0,58.0,131.0
Kings,2020-03-30T00:00:00,2.0,12.0,,,1.0,2.0,0.0
Los Angeles,2020-03-30T00:00:00,601.0,1277.0,,,245.0,244.0,456.0
Ventura,2020-03-30T00:00:00,25.0,82.0,,,5.0,28.0,15.0
Butte,2020-03-30T00:00:00,4.0,12.0,,,2.0,1.0,5.0
Placer,2020-03-30T00:00:00,19.0,19.0,,,5.0,1.0,29.0
Del Norte,2020-03-30T00:00:00,0.0,2.0,,,0.0,0.0,5.0
Monterey,2020-03-30T00:00:00,11.0,16.0,,,4.0,0.0,17.0
Alameda,2020-03-30T00:00:00,59.0,89.0,,,27.0,18.0,146.0
Tehama,2020-03-30T00:00:00,0.0,2.0,,,0.0,0.0,2.0
Tulare,2020-03-30T00:00:00,5.0,21.0,,,4.0,6.0,7.0
Santa Clara,2020-03-30T00:00:00,153.0,93.0,,,74.0,23.0,103.0
Napa,2020-03-30T00:00:00,3.0,8.0,,,1.0,0.0,9.0
Humboldt,2020-03-30T00:00:00,1.0,8.0,,,0.0,0.0,10.0
Santa Barbara,2020-03-30T00:00:00,19.0,25.0,,,11.0,7.0,48.0
Colusa,2020-03-30T00:00:00,0.0,1.0,,,0.0,1.0,5.0
Stanislaus,2020-03-30T00:00:00,17.0,51.0,,,9.0,5.0,29.0
Amador,2020-03-30T00:00:00,0.0,1.0,,,0.0,0.0,4.0
Lassen,2020-03-30T00:00:00,0.0,4.0,,,0.0,0.0,
San Diego,2020-03-30T00:00:00,146.0,446.0,,,72.0,23.0,228.0
Fresno,2020-03-30T00:00:00,10.0,88.0,,,3.0,14.0,24.0
Santa Cruz,2020-03-30T00:00:00,0.0,2.0,,,0.0,0.0,4.0
Glenn,2020-03-30T00:00:00,0.0,0.0,,,0.0,0.0,
Inyo,2020-03-30T00:00:00,,,,,,,
San Benito,2020-03-30T00:00:00,1.0,1.0,,,1.0,0.0,1.0
Madera,2020-03-30T00:00:00,1.0,5.0,,,1.0,3.0,4.0
Calaveras,2020-03-30T00:00:00,0.0,3.0,,,0.0,1.0,5.0
Sonoma,2020-03-30T00:00:00,7.0,22.0,,,3.0,4.0,29.0
El Dorado,2020-03-30T00:00:00,0.0,9.0,,,0.0,6.0,9.0
Solano,2020-03-30T00:00:00,15.0,16.0,,,6.0,0.0,47.0
San Mateo,2020-03-30T00:00:00,56.0,40.0,,,18.0,11.0,47.0
Tuolumne,2020-03-30T00:00:00,1.0,2.0,,,0.0,0.0,3.0
Plumas,2020-03-30T00:00:00,0.0,1.0,,,0.0,0.0,
San Joaquin,2020-03-30T00:00:00,28.0,30.0,,,8.0,4.0,53.0
Mendocino,2020-03-30T00:00:00,2.0,11.0,,,0.0,1.0,8.0
Yolo,2020-03-30T00:00:00,2.0,2.0,,,1.0,2.0,0.0
Sacramento,2020-03-30T00:00:00,45.0,86.0,,,21.0,23.0,58.0
Humboldt,2020-03-31T00:00:00,1.0,11.0,,,0.0,4.0,8.0
San Diego,2020-03-31T00:00:00,158.0,408.0,,,75.0,39.0,208.0
Mono,2020-03-31T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Kings,2020-03-31T00:00:00,1.0,3.0,,,1.0,2.0,4.0
San Benito,2020-03-31T00:00:00,1.0,0.0,,,1.0,0.0,1.0
San Francisco,2020-03-31T00:00:00,67.0,69.0,,,30.0,14.0,77.0
Glenn,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,
Sutter,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,
San Luis Obispo,2020-03-31T00:00:00,7.0,15.0,,,3.0,6.0,955.0
San Bernardino,2020-03-31T00:00:00,82.0,231.0,,,33.0,48.0,63.0
Plumas,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,
Orange,2020-03-31T00:00:00,105.0,233.0,,,45.0,44.0,131.0
Siskiyou,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,4.0
Tehama,2020-03-31T00:00:00,0.0,2.0,,,0.0,0.0,4.0
Del Norte,2020-03-31T00:00:00,0.0,4.0,,,0.0,0.0,3.0
Calaveras,2020-03-31T00:00:00,0.0,1.0,,,0.0,0.0,4.0
Monterey,2020-03-31T00:00:00,11.0,15.0,,,4.0,2.0,17.0
El Dorado,2020-03-31T00:00:00,10.0,9.0,,,0.0,6.0,12.0
Trinity,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,
Lassen,2020-03-31T00:00:00,0.0,7.0,,,0.0,0.0,
Solano,2020-03-31T00:00:00,15.0,15.0,,,6.0,5.0,42.0
San Joaquin,2020-03-31T00:00:00,44.0,54.0,,,14.0,5.0,28.0
Mendocino,2020-03-31T00:00:00,0.0,1.0,,,0.0,0.0,7.0
Colusa,2020-03-31T00:00:00,0.0,1.0,,,0.0,1.0,5.0
Shasta,2020-03-31T00:00:00,1.0,5.0,,,1.0,0.0,4.0
Modoc,2020-03-31T00:00:00,0.0,19.0,,,0.0,0.0,
Placer,2020-03-31T00:00:00,18.0,27.0,,,6.0,0.0,28.0
Stanislaus,2020-03-31T00:00:00,20.0,31.0,,,9.0,1.0,34.0
Madera,2020-03-31T00:00:00,1.0,3.0,,,1.0,0.0,5.0
Butte,2020-03-31T00:00:00,4.0,20.0,,,2.0,3.0,2.0
Yolo,2020-03-31T00:00:00,3.0,2.0,,,2.0,2.0,1.0
Sonoma,2020-03-31T00:00:00,8.0,18.0,,,3.0,3.0,21.0
Inyo,2020-03-31T00:00:00,,83.0,,,0.0,0.0,6.0
Imperial,2020-03-31T00:00:00,12.0,100.0,,,3.0,4.0,4.0
Amador,2020-03-31T00:00:00,0.0,0.0,,,0.0,0.0,4.0
Riverside,2020-03-31T00:00:00,80.0,155.0,,,28.0,59.0,75.0
Tuolumne,2020-03-31T00:00:00,0.0,37.0,,,0.0,0.0,4.0
Lake,2020-03-31T00:00:00,0.0,4.0,,,0.0,2.0,3.0
Yuba,2020-03-31T00:00:00,2.0,21.0,,,2.0,4.0,6.0
Sacramento,2020-03-31T00:00:00,53.0,110.0,,,20.0,31.0,66.0
Contra Costa,2020-03-31T00:00:00,27.0,54.0,,,11.0,10.0,68.0
Fresno,2020-03-31T00:00:00,30.0,274.0,,,4.0,19.0,23.0
Marin,2020-03-31T00:00:00,9.0,14.0,,,4.0,2.0,15.0
Ventura,2020-03-31T00:00:00,21.0,90.0,,,5.0,24.0,12.0
Alameda,2020-03-31T00:00:00,56.0,94.0,,,27.0,17.0,77.0
Tulare,2020-03-31T00:00:00,6.0,14.0,,,4.0,5.0,9.0
Los Angeles,2020-03-31T00:00:00,713.0,1239.0,,,315.0,239.0,445.0
San Mateo,2020-03-31T00:00:00,60.0,23.0,,,18.0,5.0,37.0
Kern,2020-03-31T00:00:00,14.0,63.0,,,6.0,6.0,46.0
Nevada,2020-03-31T00:00:00,36.0,40.0,,,2.0,1.0,6.0
Merced,2020-03-31T00:00:00,3.0,11.0,,,0.0,2.0,10.0
Santa Clara,2020-03-31T00:00:00,155.0,98.0,,,73.0,17.0,92.0
Napa,2020-03-31T00:00:00,1.0,5.0,,,1.0,1.0,12.0
Santa Barbara,2020-03-31T00:00:00,19.0,29.0,,,14.0,7.0,48.0
Santa Cruz,2020-03-31T00:00:00,1.0,10.0,,,1.0,2.0,7.0
Mono,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Calaveras,2020-04-01T00:00:00,0.0,1.0,,,0.0,0.0,5.0
Nevada,2020-04-01T00:00:00,36.0,54.0,,,0.0,4.0,3.0
Plumas,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,
Lake,2020-04-01T00:00:00,0.0,2.0,,,0.0,0.0,2.0
Orange,2020-04-01T00:00:00,117.0,221.0,,,50.0,48.0,118.0
Riverside,2020-04-01T00:00:00,85.0,182.0,,,29.0,47.0,76.0
San Luis Obispo,2020-04-01T00:00:00,8.0,10.0,,,5.0,6.0,968.0
Modoc,2020-04-01T00:00:00,0.0,1.0,,,0.0,0.0,
Merced,2020-04-01T00:00:00,3.0,15.0,,,0.0,3.0,9.0
Contra Costa,2020-04-01T00:00:00,31.0,42.0,,,12.0,12.0,61.0
El Dorado,2020-04-01T00:00:00,14.0,8.0,,,1.0,3.0,9.0
Kern,2020-04-01T00:00:00,15.0,45.0,,,7.0,9.0,32.0
Yolo,2020-04-01T00:00:00,3.0,3.0,,,1.0,1.0,2.0
San Francisco,2020-04-01T00:00:00,67.0,66.0,,,30.0,8.0,64.0
Siskiyou,2020-04-01T00:00:00,0.0,5.0,,,0.0,2.0,3.0
Kings,2020-04-01T00:00:00,2.0,6.0,,,1.0,2.0,1.0
Sutter,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,
Lassen,2020-04-01T00:00:00,0.0,7.0,,,0.0,0.0,
San Diego,2020-04-01T00:00:00,168.0,340.0,,,71.0,32.0,215.0
Yuba,2020-04-01T00:00:00,2.0,24.0,,,2.0,4.0,6.0
Inyo,2020-04-01T00:00:00,7.0,89.0,,,0.0,0.0,6.0
Tulare,2020-04-01T00:00:00,4.0,12.0,,,3.0,4.0,9.0
Glenn,2020-04-01T00:00:00,,,,,,,
Napa,2020-04-01T00:00:00,2.0,2.0,,,0.0,1.0,9.0
Santa Barbara,2020-04-01T00:00:00,23.0,23.0,,,15.0,6.0,51.0
Los Angeles,2020-04-01T00:00:00,739.0,1332.0,,,335.0,220.0,492.0
Fresno,2020-04-01T00:00:00,19.0,101.0,,,5.0,13.0,53.0
Shasta,2020-04-01T00:00:00,1.0,4.0,,,0.0,1.0,13.0
Madera,2020-04-01T00:00:00,1.0,3.0,,,1.0,0.0,4.0
Solano,2020-04-01T00:00:00,14.0,18.0,,,5.0,2.0,31.0
Humboldt,2020-04-01T00:00:00,1.0,9.0,,,0.0,3.0,7.0
San Joaquin,2020-04-01T00:00:00,25.0,35.0,,,16.0,11.0,21.0
Ventura,2020-04-01T00:00:00,22.0,96.0,,,5.0,23.0,27.0
Stanislaus,2020-04-01T00:00:00,25.0,39.0,,,10.0,6.0,31.0
Colusa,2020-04-01T00:00:00,0.0,1.0,,,0.0,1.0,5.0
Imperial,2020-04-01T00:00:00,4.0,15.0,,,3.0,4.0,7.0
Monterey,2020-04-01T00:00:00,13.0,16.0,,,4.0,4.0,15.0
Santa Cruz,2020-04-01T00:00:00,2.0,12.0,,,2.0,2.0,3.0
Santa Clara,2020-04-01T00:00:00,160.0,85.0,,,77.0,15.0,91.0
Marin,2020-04-01T00:00:00,9.0,19.0,,,4.0,2.0,14.0
Mariposa,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,
Tehama,2020-04-01T00:00:00,0.0,1.0,,,0.0,1.0,4.0
Sonoma,2020-04-01T00:00:00,5.0,18.0,,,1.0,2.0,22.0
San Bernardino,2020-04-01T00:00:00,95.0,196.0,,,39.0,52.0,34.0
Butte,2020-04-01T00:00:00,5.0,33.0,,,2.0,4.0,9.0
San Benito,2020-04-01T00:00:00,2.0,0.0,,,2.0,0.0,0.0
Alameda,2020-04-01T00:00:00,52.0,76.0,,,27.0,15.0,106.0
Sacramento,2020-04-01T00:00:00,53.0,138.0,,,20.0,33.0,74.0
Tuolumne,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Del Norte,2020-04-01T00:00:00,0.0,5.0,,,0.0,0.0,3.0
San Mateo,2020-04-01T00:00:00,57.0,35.0,,,19.0,9.0,36.0
Mendocino,2020-04-01T00:00:00,0.0,2.0,,,0.0,0.0,8.0
Placer,2020-04-01T00:00:00,25.0,28.0,,,6.0,2.0,7.0
Amador,2020-04-01T00:00:00,0.0,3.0,,,0.0,0.0,2.0
Trinity,2020-04-01T00:00:00,0.0,0.0,,,0.0,0.0,
El Dorado,2020-04-02T00:00:00,15.0,12.0,,,0.0,6.0,10.0
San Bernardino,2020-04-02T00:00:00,126.0,185.0,,,50.0,45.0,37.0
Los Angeles,2020-04-02T00:00:00,818.0,1270.0,,,346.0,193.0,488.0
Shasta,2020-04-02T00:00:00,2.0,4.0,,,1.0,0.0,10.0
Contra Costa,2020-04-02T00:00:00,32.0,38.0,,,13.0,10.0,73.0
Nevada,2020-04-02T00:00:00,38.0,58.0,,,2.0,1.0,6.0
Mariposa,2020-04-02T00:00:00,0.0,1.0,,,0.0,0.0,
San Benito,2020-04-02T00:00:00,2.0,0.0,,,2.0,0.0,0.0
Stanislaus,2020-04-02T00:00:00,30.0,43.0,,,11.0,7.0,22.0
Orange,2020-04-02T00:00:00,129.0,225.0,,,67.0,47.0,96.0
Riverside,2020-04-02T00:00:00,136.0,181.0,,,45.0,49.0,104.0
San Mateo,2020-04-02T00:00:00,62.0,40.0,,,26.0,4.0,26.0
Siskiyou,2020-04-02T00:00:00,0.0,3.0,,,0.0,2.0,4.0
Tehama,2020-04-02T00:00:00,0.0,1.0,,,0.0,1.0,4.0
Sonoma,2020-04-02T00:00:00,8.0,18.0,,,1.0,0.0,10.0
Trinity,2020-04-02T00:00:00,0.0,0.0,,,0.0,0.0,
Colusa,2020-04-02T00:00:00,0.0,1.0,,,0.0,1.0,5.0
Lassen,2020-04-02T00:00:00,0.0,7.0,,,0.0,0.0,
Merced,2020-04-02T00:00:00,4.0,5.0,,,0.0,1.0,3.0
Napa,2020-04-02T00:00:00,1.0,4.0,,,1.0,1.0,12.0
Del Norte,2020-04-02T00:00:00,0.0,3.0,,,0.0,0.0,2.0
Kern,2020-04-02T00:00:00,27.0,77.0,,,12.0,23.0,36.0
Mendocino,2020-04-02T00:00:00,0.0,1.0,,,0.0,0.0,8.0
Yuba,2020-04-02T00:00:00,2.0,25.0,,,2.0,6.0,4.0
San Francisco,2020-04-02T00:00:00,75.0,60.0,,,32.0,11.0,58.0
Fresno,2020-04-02T00:00:00,17.0,74.0,,,6.0,13.0,33.0
Glenn,2020-04-02T00:00:00,0.0,0.0,,,0.0,0.0,
Butte,2020-04-02T00:00:00,4.0,26.0,,,2.0,2.0,12.0
Santa Clara,2020-04-02T00:00:00,163.0,101.0,,,69.0,19.0,95.0
Solano,2020-04-02T00:00:00,15.0,8.0,,,7.0,1.0,27.0
Ventura,2020-04-02T00:00:00,27.0,111.0,,,7.0,24.0,15.0
Amador,2020-04-02T00:00:00,0.0,3.0,,,0.0,0.0,2.0
Lake,2020-04-02T00:00:00,0.0,1.0,,,0.0,0.0,2.0
Monterey,2020-04-02T00:00:00,14.0,14.0,,,4.0,2.0,12.0
Humboldt,2020-04-02T00:00:00,1.0,8.0,,,0.0,2.0,8.0
San Diego,2020-04-02T00:00:00,144.0,343.0,,,69.0,35.0,206.0
Placer,2020-04-02T00:00:00,32.0,15.0,,,9.0,0.0,11.0
Madera,2020-04-02T00:00:00,1.0,7.0,,,1.0,3.0,6.0
Tuolumne,2020-04-02T00:00:00,0.0,0.0,,,0.0,0.0,2.0
Santa Barbara,2020-04-02T00:00:00,26.0,44.0,,,18.0,10.0,47.0
Plumas,2020-04-02T00:00:00,0.0,0.0,,,0.0,0.0,
Sacramento,2020-04-02T00:00:00,71.0,92.0,,,24.0,19.0,80.0
Alameda,2020-04-02T00:00:00,57.0,76.0,,,29.0,17.0,112.0
Mono,2020-04-02T00:00:00,18.0,2.0,,,0.0,0.0,2.0
Modoc,2020-04-02T00:00:00,0.0,1.0,,,0.0,0.0,
San Luis Obispo,2020-04-02T00:00:00,5.0,5.0,,,4.0,4.0,966.0
San Joaquin,2020-04-02T00:00:00,42.0,42.0,,,20.0,7.0,17.0
Sutter,2020-04-02T00:00:00,0.0,0.0,,,,,
Imperial,2020-04-02T00:00:00,4.0,16.0,,,3.0,5.0,6.0
Calaveras,2020-04-02T00:00:00,0.0,1.0,,,0.0,0.0,5.0
Yolo,2020-04-02T00:00:00,3.0,2.0,,,2.0,3.0,0.0
Tulare,2020-04-02T00:00:00,4.0,26.0,,,4.0,5.0,3.0
Santa Cruz,2020-04-02T00:00:00,4.0,4.0,,,3.0,0.0,7.0
Kings,2020-04-02T00:00:00,2.0,6.0,,,1.0,1.0,7.0
Marin,2020-04-02T00:00:00,7.0,16.0,,,3.0,1.0,16.0
Inyo,2020-04-02T00:00:00,8.0,102.0,,,0.0,1.0,3.0
Fresno,2020-04-03T00:00:00,15.0,81.0,,,7.0,16.0,35.0
Napa,2020-04-03T00:00:00,1.0,9.0,,,0.0,1.0,9.0
Tehama,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,8.0
Kings,2020-04-03T00:00:00,0.0,3.0,,,1.0,0.0,3.0
Del Norte,2020-04-03T00:00:00,0.0,2.0,,,0.0,0.0,2.0
San Joaquin,2020-04-03T00:00:00,41.0,38.0,,,18.0,8.0,22.0
Modoc,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,
San Diego,2020-04-03T00:00:00,171.0,308.0,,,84.0,28.0,216.0
Ventura,2020-04-03T00:00:00,22.0,116.0,,,6.0,28.0,56.0
Merced,2020-04-03T00:00:00,4.0,5.0,,,1.0,1.0,4.0
Santa Cruz,2020-04-03T00:00:00,4.0,8.0,,,3.0,0.0,2.0
Imperial,2020-04-03T00:00:00,9.0,7.0,,,7.0,0.0,5.0
Lassen,2020-04-03T00:00:00,0.0,3.0,,,0.0,0.0,
Placer,2020-04-03T00:00:00,21.0,23.0,,,10.0,1.0,7.0
Contra Costa,2020-04-03T00:00:00,31.0,39.0,,,15.0,10.0,75.0
Santa Clara,2020-04-03T00:00:00,164.0,83.0,,,71.0,17.0,97.0
San Luis Obispo,2020-04-03T00:00:00,4.0,5.0,,,3.0,2.0,967.0
Los Angeles,2020-04-03T00:00:00,962.0,1239.0,,,422.0,209.0,473.0
Orange,2020-04-03T00:00:00,131.0,182.0,,,66.0,36.0,151.0
Mono,2020-04-03T00:00:00,18.0,2.0,,,0.0,0.0,2.0
Stanislaus,2020-04-03T00:00:00,28.0,45.0,,,12.0,8.0,22.0
San Mateo,2020-04-03T00:00:00,65.0,39.0,,,26.0,4.0,38.0
Marin,2020-04-03T00:00:00,6.0,16.0,,,3.0,5.0,17.0
Plumas,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,
Siskiyou,2020-04-03T00:00:00,0.0,3.0,,,0.0,1.0,4.0
Sonoma,2020-04-03T00:00:00,6.0,24.0,,,2.0,3.0,15.0
Butte,2020-04-03T00:00:00,3.0,19.0,,,2.0,6.0,9.0
San Bernardino,2020-04-03T00:00:00,118.0,204.0,,,44.0,53.0,57.0
Lake,2020-04-03T00:00:00,0.0,2.0,,,0.0,1.0,2.0
Mariposa,2020-04-03T00:00:00,0.0,2.0,,,0.0,0.0,
Sutter,2020-04-03T00:00:00,0.0,0.0,,,,,
Monterey,2020-04-03T00:00:00,16.0,18.0,,,3.0,1.0,17.0
El Dorado,2020-04-03T00:00:00,15.0,9.0,,,0.0,4.0,14.0
San Francisco,2020-04-03T00:00:00,80.0,71.0,,,39.0,8.0,74.0
Riverside,2020-04-03T00:00:00,105.0,182.0,,,44.0,59.0,127.0
Yuba,2020-04-03T00:00:00,2.0,12.0,,,2.0,2.0,5.0
Mendocino,2020-04-03T00:00:00,0.0,5.0,,,0.0,1.0,6.0
Alameda,2020-04-03T00:00:00,64.0,74.0,,,32.0,13.0,117.0
Humboldt,2020-04-03T00:00:00,1.0,7.0,,,0.0,0.0,10.0
Inyo,2020-04-03T00:00:00,8.0,102.0,,,1.0,2.0,1.0
Santa Barbara,2020-04-03T00:00:00,27.0,29.0,,,18.0,4.0,50.0
Shasta,2020-04-03T00:00:00,2.0,9.0,,,1.0,3.0,14.0
Kern,2020-04-03T00:00:00,35.0,73.0,,,12.0,16.0,47.0
Tuolumne,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,1.0
Yolo,2020-04-03T00:00:00,2.0,7.0,,,3.0,6.0,4.0
Calaveras,2020-04-03T00:00:00,0.0,1.0,,,0.0,0.0,5.0
Colusa,2020-04-03T00:00:00,1.0,0.0,,,1.0,0.0,5.0
San Benito,2020-04-03T00:00:00,2.0,0.0,,,2.0,0.0,0.0
Nevada,2020-04-03T00:00:00,2.0,4.0,,,2.0,1.0,5.0
Amador,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,1.0
Sacramento,2020-04-03T00:00:00,77.0,76.0,,,28.0,17.0,76.0
Solano,2020-04-03T00:00:00,16.0,21.0,,,7.0,5.0,23.0
Glenn,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,
Trinity,2020-04-03T00:00:00,0.0,0.0,,,0.0,0.0,
Madera,2020-04-03T00:00:00,0.0,5.0,,,0.0,1.0,7.0
Tulare,2020-04-03T00:00:00,6.0,15.0,,,5.0,2.0,3.0
Stanislaus,2020-04-04T00:00:00,30.0,45.0,,,12.0,9.0,26.0
Shasta,2020-04-04T00:00:00,2.0,10.0,,,4.0,0.0,13.0
San Joaquin,2020-04-04T00:00:00,43.0,30.0,,,16.0,7.0,24.0
San Benito,2020-04-04T00:00:00,2.0,3.0,,,2.0,0.0,0.0
Los Angeles,2020-04-04T00:00:00,1007.0,1190.0,,,449.0,181.0,537.0
Riverside,2020-04-04T00:00:00,126.0,186.0,,,39.0,56.0,125.0
Kern,2020-04-04T00:00:00,33.0,54.0,,,14.0,11.0,29.0
Nevada,2020-04-04T00:00:00,2.0,6.0,,,2.0,2.0,5.0
Siskiyou,2020-04-04T00:00:00,0.0,2.0,,,0.0,1.0,5.0
Mono,2020-04-04T00:00:00,20.0,2.0,,,0.0,0.0,2.0
Glenn,2020-04-04T00:00:00,0.0,0.0,,,0.0,0.0,
San Diego,2020-04-04T00:00:00,177.0,218.0,,,86.0,19.0,222.0
Alameda,2020-04-04T00:00:00,60.0,95.0,,,35.0,18.0,120.0
Colusa,2020-04-04T00:00:00,1.0,0.0,,,1.0,0.0,5.0
Ventura,2020-04-04T00:00:00,21.0,127.0,,,7.0,25.0,10.0
Modoc,2020-04-04T00:00:00,0.0,0.0,,,0.0,0.0,
Sonoma,2020-04-04T00:00:00,7.0,16.0,,,2.0,6.0,15.0
